SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,m_nodeSpeed,n_nodes
868,18.432000000000002,36,10,protocol,7.5,1000,17837,17.837,2362,1683,0.7125319999999999,0.585205,0.5163449999999999,0.471128,0.44192299999999995,0.40670100000000003,0.363622,0.363622,0.363622,0.363622,0.526438,20,100.0
364,17.92,35,10,protocol,7.5,1500,32177,21.4513,5159,3563,0.690638,0.5279189999999999,0.4520270000000001,0.412415,0.379361,0.346423,0.311925,0.311925,0.311925,0.311925,0.502899,20,150.0
468,15.872,31,10,protocol,7.5,800,13662,17.0775,1408,1151,0.817472,0.685942,0.615631,0.584836,0.562717,0.521536,0.47627200000000003,0.47627200000000003,0.47627200000000003,0.47627200000000003,0.5095609999999999,20,80.0
651,21.504,42,10,protocol,7.5,1200,22725,18.9375,3017,2107,0.698376,0.5571010000000001,0.482079,0.44725,0.419121,0.380363,0.34042100000000003,0.34042100000000003,0.34042100000000003,0.34042100000000003,0.505891,20,120.0
553,17.92,35,10,protocol,7.5,300,3428,11.4267,218,209,0.958716,0.9198370000000001,0.870303,0.844515,0.830691,0.801678,0.754846,0.754846,0.754846,0.754846,0.45022700000000004,20,30.0
650,12.288,24,10,protocol,7.5,1000,18169,18.169,2098,1565,0.745949,0.641123,0.585359,0.5469729999999999,0.507567,0.45891499999999996,0.41303900000000004,0.41303900000000004,0.41303900000000004,0.41303900000000004,0.527486,20,100.0
75,8.704,17,10,protocol,7.5,1000,17220,17.22,2161,1576,0.729292,0.634716,0.560609,0.518159,0.47911899999999996,0.43329799999999996,0.38314499999999996,0.38314499999999996,0.38314499999999996,0.38314499999999996,0.5313359999999999,20,100.0
689,11.776,23,10,protocol,7.5,800,13498,16.8725,1207,893,0.739851,0.652907,0.595247,0.558337,0.527821,0.489179,0.44516300000000003,0.44516300000000003,0.44516300000000003,0.44516300000000003,0.513253,20,80.0
415,18.432000000000002,36,10,protocol,7.5,400,4665,11.6625,280,264,0.942857,0.855368,0.832024,0.8047979999999999,0.776849,0.7348020000000001,0.665003,0.665003,0.665003,0.665003,0.45325,20,40.0
676,19.968,39,10,protocol,7.5,1000,17518,17.518,2399,1721,0.717382,0.58515,0.5121140000000001,0.468591,0.4363,0.40079000000000004,0.362577,0.362577,0.362577,0.362577,0.527536,20,100.0
650,17.408,34,10,protocol,7.5,700,11285,16.1214,1191,881,0.739715,0.668909,0.611581,0.590986,0.560066,0.517134,0.471301,0.471301,0.471301,0.471301,0.509601,20,70.0
262,17.92,35,10,protocol,7.5,500,6279,12.558,399,335,0.839599,0.727172,0.663093,0.623216,0.592225,0.54677,0.5063310000000001,0.5063310000000001,0.5063310000000001,0.5063310000000001,0.49360299999999996,20,50.0
228,22.528000000000002,44,10,protocol,7.5,600,9440,15.7333,894,750,0.8389260000000001,0.767261,0.744057,0.714251,0.680958,0.627317,0.570591,0.570591,0.570591,0.570591,0.495284,20,60.0
265,10.24,20,10,protocol,7.5,1000,17490,17.49,1682,1294,0.7693220000000001,0.65477,0.581519,0.5430659999999999,0.51018,0.463996,0.411896,0.411896,0.411896,0.411896,0.524722,20,100.0
838,16.384,32,10,protocol,7.5,300,3183,10.61,294,291,0.9897959999999999,0.9575370000000001,0.9383739999999999,0.927974,0.904932,0.881084,0.803535,0.803535,0.803535,0.803535,0.4502100000000001,20,30.0
919,14.847999999999999,29,10,protocol,7.5,1500,28221,18.814,4230,2602,0.6151300000000001,0.463631,0.391563,0.352026,0.32510900000000004,0.294486,0.263612,0.263612,0.263612,0.263612,0.503501,20,150.0
